D,Num_s0.05,New_s0.05,Num_s0.10,New_s0.10,Num_s0.15,New_s0.15,Num_s0.20,New_s0.20,Num_s0.25,New_s0.25
2.00000000e-02,3.45050169e+01,3.47501762e+01,4.49376869e+01,4.50098418e+01,5.06188799e+01,5.08242409e+01,5.47620854e+01,5.48505345e+01,5.74723361e+01,5.79150332e+01
4.00000000e-02,2.82832905e+01,2.82596884e+01,3.66610331e+01,3.64529443e+01,4.11736598e+01,4.10553783e+01,4.44431360e+01,4.42237735e+01,4.65721792e+01,4.66245622e+01
6.00000000e-02,2.48612163e+01,2.47696465e+01,3.21169307e+01,3.18496013e+01,3.59939539e+01,3.57974560e+01,3.87893547e+01,3.85021632e+01,4.06035915e+01,4.05441751e+01
8.00000000e-02,2.24887968e+01,2.23977609e+01,2.89720546e+01,2.87226111e+01,3.24131093e+01,3.22266054e+01,3.48840949e+01,3.46171505e+01,3.64832644e+01,3.64163028e+01
1.00000000e-01,2.06760345e+01,2.06067164e+01,2.65730796e+01,2.63636644e+01,2.96844733e+01,2.95343545e+01,3.19107096e+01,3.16893433e+01,3.33478891e+01,3.33066467e+01
1.20000000e-01,1.92129321e+01,1.91704283e+01,2.46400136e+01,2.44743164e+01,2.74880593e+01,2.73797064e+01,2.95192182e+01,2.93475479e+01,3.08274899e+01,3.08205991e+01
1.40000000e-01,1.79894919e+01,1.79730559e+01,2.30261981e+01,2.29014667e+01,2.56562620e+01,2.55875807e+01,2.75263068e+01,2.74010584e+01,2.87282815e+01,2.87553252e+01
1.60000000e-01,1.69407166e+01,1.69475193e+01,2.16449742e+01,2.15563663e+01,2.40900472e+01,2.40564112e+01,2.58236611e+01,2.57391850e+01,2.69357637e+01,2.69930467e+01
1.80000000e-01,1.60249418e+01,1.60515638e+01,2.04407941e+01,2.03830580e+01,2.27259359e+01,2.27221185e+01,2.43418556e+01,2.42920601e+01,2.53765473e+01,2.54593959e+01
2.00000000e-01,1.52138368e+01,1.52568779e+01,1.93758878e+01,1.93440191e+01,2.15207667e+01,2.15417093e+01,2.30336866e+01,2.30127884e+01,2.40007349e+01,2.41044430e+01
2.20000000e-01,1.44872524e+01,1.45435737e+01,1.84233943e+01,1.84128721e+01,2.04438456e+01,2.04849460e+01,2.18655868e+01,2.18683775e+01,2.27728443e+01,2.28930521e+01
2.40000000e-01,1.38303425e+01,1.38971480e+01,1.75635232e+01,1.75703691e+01,1.94725590e+01,1.95297551e+01,2.08128268e+01,2.08347361e+01,2.16667365e+01,2.17995617e+01
2.60000000e-01,1.32318508e+01,1.33066975e+01,1.67812703e+01,1.68020327e+01,1.85897635e+01,1.86595280e+01,1.98566601e+01,1.98937334e+01,2.06625969e+01,2.08046564e+01
2.80000000e-01,1.26830383e+01,1.27638166e+01,1.60649881e+01,1.60966965e+01,1.77821515e+01,1.78614512e+01,1.89825355e+01,1.90313791e+01,1.97450463e+01,1.98934301e+01
3.00000000e-01,1.21769844e+01,1.22618863e+01,1.54054530e+01,1.54455645e+01,1.70391860e+01,1.71254288e+01,1.81789323e+01,1.82366487e+01,1.89019085e+01,1.90541352e+01
3.20000000e-01,1.17081143e+01,1.17955991e+01,1.47952366e+01,1.48415819e+01,1.63523811e+01,1.64433621e+01,1.74365727e+01,1.75006973e+01,1.81233789e+01,1.82773469e+01
3.40000000e-01,1.12718716e+01,1.13606325e+01,1.42282674e+01,1.42790014e+01,1.57148020e+01,1.58086526e+01,1.67478757e+01,1.68163185e+01,1.74014462e+01,1.75553856e+01
3.60000000e-01,1.08644840e+01,1.09534174e+01,1.36995200e+01,1.37530773e+01,1.51207090e+01,1.52158513e+01,1.61065672e+01,1.61775609e+01,1.67294809e+01,1.68819093e+01
3.80000000e-01,1.04827933e+01,1.05709718e+01,1.32047874e+01,1.32598438e+01,1.45652978e+01,1.46604046e+01,1.55073963e+01,1.55794513e+01,1.61019349e+01,1.62516184e+01
4.00000000e-01,1.01241288e+01,1.02107771e+01,1.27405127e+01,1.27959518e+01,1.40445072e+01,1.41384668e+01,1.49459246e+01,1.50177896e+01,1.55141189e+01,1.56600375e+01
4.20000000e-01,9.78621202e+00,9.87068617e+00,1.23036618e+01,1.23585459e+01,1.35548732e+01,1.36467598e+01,1.44183669e+01,1.44889958e+01,1.49620344e+01,1.51033522e+01
4.40000000e-01,9.46708342e+00,9.54885278e+00,1.18916259e+01,1.19451714e+01,1.30934179e+01,1.31824653e+01,1.39214695e+01,1.39899924e+01,1.44422443e+01,1.45782839e+01
4.60000000e-01,9.16504553e+00,9.24367727e+00,1.15021455e+01,1.15537017e+01,1.26575624e+01,1.27431421e+01,1.34524153e+01,1.35181142e+01,1.39517734e+01,1.40819930e+01
4.80000000e-01,8.87861828e+00,8.95376394e+00,1.11332509e+01,1.11822816e+01,1.22450591e+01,1.23266610e+01,1.30087492e+01,1.30710366e+01,1.34880289e+01,1.36120039e+01
5.00000000e-01,8.60650337e+00,8.67788729e+00,1.07832149e+01,1.08292829e+01,1.18539373e+01,1.19311534e+01,1.25883190e+01,1.26467199e+01,1.30487381e+01,1.31661442e+01
5.20000000e-01,8.34755572e+00,8.41496504e+00,1.04505143e+01,1.04932676e+01,1.14824597e+01,1.15549698e+01,1.21892277e+01,1.22433642e+01,1.26318980e+01,1.27424971e+01
5.40000000e-01,8.10076031e+00,8.16403631e+00,1.01337993e+01,1.01729600e+01,1.11290868e+01,1.11966467e+01,1.18097947e+01,1.18593724e+01,1.22357346e+01,1.23393625e+01
5.60000000e-01,7.86521318e+00,7.92424383e+00,9.83186830e+00,9.86722200e+00,1.07924484e+01,1.08548791e+01,1.14485245e+01,1.14933209e+01,1.18586692e+01,1.19552251e+01
5.80000000e-01,7.64010587e+00,7.69481931e+00,9.54364679e+00,9.57503422e+00,1.04713199e+01,1.05284984e+01,1.11040803e+01,1.11439354e+01,1.14992910e+01,1.15887283e+01
6.00000000e-01,7.42471239e+00,7.47507136e+00,9.26817028e+00,9.29547969e+00,1.01646018e+01,1.02164537e+01,1.07752628e+01,1.08100698e+01,1.11563344e+01,1.12386531e+01
6.20000000e-01,7.21837844e+00,7.26437532e+00,9.00456975e+00,9.02773040e+00,9.87130406e+00,9.91779634e+00,1.04609919e+01,1.04906902e+01,1.08286599e+01,1.09038992e+01
6.40000000e-01,7.02051226e+00,7.06216487e+00,8.75205957e+00,8.77103600e+00,9.59053176e+00,9.63166701e+00,1.01602916e+01,1.01848599e+01,1.05152377e+01,1.05834706e+01
6.60000000e-01,6.83057692e+00,6.86792479e+00,8.50992713e+00,8.52471427e+00,9.32147337e+00,9.35728465e+00,9.87227693e+00,9.89172794e+00,1.02151346e+01,1.02764624e+01
6.80000000e-01,6.64808376e+00,6.68118491e+00,8.27752416e+00,8.28814298e+00,9.06339086e+00,9.09393716e+00,9.59614348e+00,9.61051882e+00,9.92750213e+00,9.98205013e+00
7.00000000e-01,6.47258684e+00,6.50151493e+00,8.05425926e+00,8.06075301e+00,8.81561107e+00,8.84097348e+00,9.33115756e+00,9.34052357e+00,9.65156672e+00,9.69948028e+00
7.20000000e-01,6.30367801e+00,6.32851991e+00,7.83959141e+00,7.84202234e+00,8.57751847e+00,8.59779667e+00,9.07664849e+00,9.08109243e+00,9.38662135e+00,9.42806244e+00
7.40000000e-01,6.14098289e+00,6.16183648e+00,7.63302453e+00,7.63147099e+00,8.34854875e+00,8.36385809e+00,8.83200157e+00,8.83162836e+00,9.13201809e+00,9.16716239e+00
7.60000000e-01,5.98415715e+00,6.00112948e+00,7.43410260e+00,7.42865652e+00,8.12818336e+00,8.13865225e+00,8.59665208e+00,8.59158146e+00,8.88716185e+00,8.91619613e+00
7.80000000e-01,5.83288345e+00,5.84608905e+00,7.24240552e+00,7.23317021e+00,7.91594476e+00,7.92171236e+00,8.37008010e+00,8.36044413e+00,8.65150481e+00,8.67462472e+00
8.00000000e-01,5.68686870e+00,5.69642814e+00,7.05754544e+00,7.04463365e+00,7.71139221e+00,7.71260647e+00,8.15180592e+00,8.13774679e+00,8.42454163e+00,8.44194970e+00
8.20000000e-01,5.54584162e+00,5.55188026e+00,6.87916361e+00,6.86269581e+00,7.51411817e+00,7.51093404e+00,7.94138608e+00,7.92305416e+00,8.20580525e+00,8.21770921e+00
8.40000000e-01,5.40955068e+00,5.41219754e+00,6.70692752e+00,6.68703043e+00,7.32374503e+00,7.31632298e+00,7.73840980e+00,7.71596201e+00,7.99486312e+00,8.00147440e+00
8.60000000e-01,5.27776221e+00,5.27714901e+00,6.54052843e+00,6.51733370e+00,7.13992234e+00,7.12842698e+00,7.54249597e+00,7.51609428e+00,7.79131398e+00,7.79284642e+00
8.80000000e-01,5.15025877e+00,5.14651908e+00,6.37967922e+00,6.35332226e+00,6.96232425e+00,6.94692320e+00,7.35329033e+00,7.32310047e+00,7.59478496e+00,7.59145368e+00
9.00000000e-01,5.02683766e+00,5.02010616e+00,6.22411237e+00,6.19473139e+00,6.79064732e+00,6.77151015e+00,7.17046306e+00,7.13665343e+00,7.40492898e+00,7.39694938e+00
9.20000000e-01,4.90730968e+00,4.89772151e+00,6.07357830e+00,6.04131338e+00,6.62460852e+00,6.60190589e+00,6.99370667e+00,6.95644730e+00,7.22142248e+00,7.20900943e+00
9.40000000e-01,4.79149790e+00,4.77918809e+00,5.92784376e+00,5.89283612e+00,6.46394348e+00,6.43784635e+00,6.82273397e+00,6.78219571e+00,7.04396338e+00,7.02733047e+00
9.60000000e-01,4.67923667e+00,4.66433967e+00,5.78669050e+00,5.74908178e+00,6.30840490e+00,6.27908383e+00,6.65727642e+00,6.61363018e+00,6.87226927e+00,6.85162817e+00
9.80000000e-01,4.57037066e+00,4.55301990e+00,5.64991399e+00,5.60984571e+00,6.15776113e+00,6.12538573e+00,6.49708258e+00,6.45049866e+00,6.70607573e+00,6.68163564e+00
1.00000000e+00,4.46475406e+00,4.44508158e+00,5.51732233e+00,5.47493533e+00,6.01179489e+00,5.97653331e+00,6.34191666e+00,6.29256419e+00,6.54513491e+00,6.51710213e+00
1.02000000e+00,4.36224978e+00,4.34038591e+00,5.38873523e+00,5.34416924e+00,5.87030217e+00,5.83232061e+00,6.19155732e+00,6.13960378e+00,6.38921417e+00,6.35779166e+00
1.04000000e+00,4.26272880e+00,4.23880192e+00,5.26398311e+00,5.21737639e+00,5.73309111e+00,5.69255351e+00,6.04579651e+00,5.99140732e+00,6.23809490e+00,6.20348197e+00
1.06000000e+00,4.16606955e+00,4.14020582e+00,5.14290627e+00,5.09439526e+00,5.59998115e+00,5.55704882e+00,5.90443848e+00,5.84777659e+00,6.09157145e+00,6.05396347e+00
1.08000000e+00,4.07215734e+00,4.04448052e+00,5.02535417e+00,4.97507318e+00,5.47080212e+00,5.42563349e+00,5.76729879e+00,5.70852444e+00,5.94945012e+00,5.90903829e+00
1.10000000e+00,3.98088387e+00,3.95151515e+00,4.91118474e+00,4.85926572e+00,5.34539349e+00,5.29814387e+00,5.63420354e+00,5.57347393e+00,5.81154828e+00,5.76851945e+00
1.12000000e+00,3.89214675e+00,3.86120464e+00,4.80026374e+00,4.74683611e+00,5.22360370e+00,5.17442507e+00,5.50498856e+00,5.44245766e+00,5.67769358e+00,5.63223006e+00
1.14000000e+00,3.80584909e+00,3.77344928e+00,4.69246426e+00,4.63765468e+00,5.10528945e+00,5.05433034e+00,5.37949872e+00,5.31531710e+00,5.54772320e+00,5.50000269e+00
1.16000000e+00,3.72189914e+00,3.68815440e+00,4.58766615e+00,4.53159841e+00,4.99031519e+00,4.93772050e+00,5.25758730e+00,5.19190193e+00,5.42148318e+00,5.37167862e+00
1.18000000e+00,3.64020988e+00,3.60523003e+00,4.48575559e+00,4.42855046e+00,4.87855253e+00,4.82446347e+00,5.13911538e+00,5.07206959e+00,5.29882779e+00,5.24710733e+00
1.20000000e+00,3.56069876e+00,3.52459057e+00,4.38662464e+00,4.32839980e+00,4.76987978e+00,4.71443376e+00,5.02395137e+00,4.95568465e+00,5.17961898e+00,5.12614594e+00
1.22000000e+00,3.48328736e+00,3.44615455e+00,4.29017085e+00,4.23104083e+00,4.66418152e+00,4.60751211e+00,4.91197045e+00,4.84261845e+00,5.06372587e+00,5.00865869e+00
1.24000000e+00,3.40790115e+00,3.36984434e+00,4.19629693e+00,4.13637300e+00,4.56134814e+00,4.50358500e+00,4.80305415e+00,4.73274862e+00,4.95102428e+00,4.89451652e+00
1.26000000e+00,3.33446922e+00,3.29558594e+00,4.10491038e+00,4.04430054e+00,4.46127550e+00,4.40254439e+00,4.69708997e+00,4.62595866e+00,4.84139625e+00,4.78359661e+00
1.28000000e+00,3.26292408e+00,3.22330874e+00,4.01592319e+00,3.95473216e+00,4.36386456e+00,4.30428732e+00,4.59397092e+00,4.52213766e+00,4.73472971e+00,4.67578204e+00
1.30000000e+00,3.19320139e+00,3.15294531e+00,3.92925157e+00,3.86758074e+00,4.26902109e+00,4.20871562e+00,4.49359526e+00,4.42117986e+00,4.63091804e+00,4.57096136e+00
1.32000000e+00,3.12523985e+00,3.08443126e+00,3.84481571e+00,3.78276315e+00,4.17665534e+00,4.11573561e+00,4.39586612e+00,4.32298442e+00,4.52985978e+00,4.46902835e+00
1.34000000e+00,3.05898093e+00,3.01770499e+00,3.76253949e+00,3.70019997e+00,4.08668176e+00,4.02525788e+00,4.30069119e+00,4.22745509e+00,4.43145828e+00,4.36988164e+00
1.36000000e+00,2.99436876e+00,2.95270761e+00,3.68235030e+00,3.61981527e+00,3.99901879e+00,3.93719698e+00,4.20798251e+00,4.13449996e+00,4.33562143e+00,4.27342445e+00
1.38000000e+00,2.93134996e+00,2.88938274e+00,3.60417880e+00,3.54153645e+00,3.91358860e+00,3.85147127e+00,4.11765615e+00,4.04403119e+00,4.24226138e+00,4.17956433e+00
1.40000000e+00,2.86987350e+00,2.82767636e+00,3.52795877e+00,3.46529403e+00,3.83031684e+00,3.76800262e+00,4.02963198e+00,3.95596480e+00,4.15129430e+00,4.08821292e+00
1.42000000e+00,2.80989055e+00,2.76753675e+00,3.45362688e+00,3.39102149e+00,3.74913249e+00,3.68671628e+00,3.94383348e+00,3.87022046e+00,4.06264012e+00,3.99928571e+00
1.44000000e+00,2.75135437e+00,2.70891428e+00,3.38112258e+00,3.31865510e+00,3.66996766e+00,3.60754068e+00,3.86018751e+00,3.78672127e+00,3.97622234e+00,3.91270182e+00
1.46000000e+00,2.69422020e+00,2.65176137e+00,3.31038790e+00,3.24813375e+00,3.59275739e+00,3.53040724e+00,3.77862414e+00,3.70539359e+00,3.89196782e+00,3.82838382e+00
1.48000000e+00,2.63844514e+00,2.59603232e+00,3.24136734e+00,3.17939887e+00,3.51743949e+00,3.45525023e+00,3.69907643e+00,3.62616684e+00,3.80980660e+00,3.74625753e+00
1.50000000e+00,2.58398803e+00,2.54168328e+00,3.17400771e+00,3.11239424e+00,3.44395442e+00,3.38200661e+00,3.62148032e+00,3.54897337e+00,3.72967169e+00,3.66625188e+00
1.52000000e+00,2.53080942e+00,2.48867211e+00,3.10825803e+00,3.04706590e+00,3.37224512e+00,3.31061590e+00,3.54577442e+00,3.47374831e+00,3.65149896e+00,3.58829870e+00
1.54000000e+00,2.47887141e+00,2.43695829e+00,3.04406938e+00,2.98336202e+00,3.30225688e+00,3.24102004e+00,3.47189992e+00,3.40042938e+00,3.57522695e+00,3.51233259e+00
1.56000000e+00,2.42813760e+00,2.38650290e+00,2.98139484e+00,2.92123281e+00,3.23393722e+00,3.17316327e+00,3.39980041e+00,3.32895680e+00,3.50079675e+00,3.43829079e+00
1.58000000e+00,2.37857303e+00,2.33726845e+00,2.92018933e+00,2.86063041e+00,3.16723578e+00,3.10699201e+00,3.32942177e+00,3.25927317e+00,3.42815183e+00,3.36611303e+00
1.60000000e+00,2.33014407e+00,2.28921889e+00,2.86040957e+00,2.80150877e+00,3.10210421e+00,3.04245478e+00,3.26071206e+00,3.19132333e+00,3.35723797e+00,3.29574143e+00
1.62000000e+00,2.28281839e+00,2.24231950e+00,2.80201395e+00,2.74382361e+00,3.03849603e+00,2.97950205e+00,3.19362140e+00,3.12505423e+00,3.28800310e+00,3.22712035e+00
1.64000000e+00,2.23656486e+00,2.19653684e+00,2.74496246e+00,2.68753232e+00,2.97636662e+00,2.91808620e+00,3.12810186e+00,3.06041489e+00,3.22039720e+00,3.16019631e+00
1.66000000e+00,2.19135354e+00,2.15183870e+00,2.68921662e+00,2.63259385e+00,2.91567303e+00,2.85816138e+00,3.06410738e+00,2.99735623e+00,3.15437221e+00,3.09491785e+00
1.68000000e+00,2.14715555e+00,2.10819402e+00,2.63473938e+00,2.57896867e+00,2.85637397e+00,2.79968346e+00,3.00159367e+00,2.93583106e+00,3.08988192e+00,3.03123548e+00
1.70000000e+00,2.10394309e+00,2.06557284e+00,2.58149509e+00,2.52661871e+00,2.79842970e+00,2.74260993e+00,2.94051810e+00,2.87579389e+00,3.02688188e+00,2.96910155e+00
1.72000000e+00,2.06168936e+00,2.02394628e+00,2.52944940e+00,2.47550724e+00,2.74180195e+00,2.68689984e+00,2.88083966e+00,2.81720096e+00,2.96532934e+00,2.90847019e+00
1.74000000e+00,2.02036851e+00,1.98328647e+00,2.47856920e+00,2.42559887e+00,2.68645387e+00,2.63251372e+00,2.82251886e+00,2.76001007e+00,2.90518311e+00,2.84929721e+00
1.76000000e+00,1.97995560e+00,1.94356650e+00,2.42882260e+00,2.37685946e+00,2.63234995e+00,2.57941351e+00,2.76551766e+00,2.70418057e+00,2.84640356e+00,2.79154003e+00
1.78000000e+00,1.94042656e+00,1.90476039e+00,2.38017881e+00,2.32925605e+00,2.57945597e+00,2.52756252e+00,2.70979940e+00,2.64967325e+00,2.78895248e+00,2.73515761e+00
1.80000000e+00,1.90175814e+00,1.86684304e+00,2.33260815e+00,2.28275685e+00,2.52773890e+00,2.47692534e+00,2.65532874e+00,2.59645032e+00,2.73279307e+00,2.68011037e+00
1.82000000e+00,1.86392790e+00,1.82979022e+00,2.28608198e+00,2.23733116e+00,2.47716691e+00,2.42746780e+00,2.60207162e+00,2.54447528e+00,2.67788983e+00,2.62636014e+00
1.84000000e+00,1.82691415e+00,1.79357849e+00,2.24057263e+00,2.19294933e+00,2.42770927e+00,2.37915691e+00,2.54999516e+00,2.49371296e+00,2.62420853e+00,2.57387009e+00
1.86000000e+00,1.79069592e+00,1.75818519e+00,2.19605338e+00,2.14958271e+00,2.37933632e+00,2.33196082e+00,2.49906763e+00,2.44412935e+00,2.57171614e+00,2.52260469e+00
1.88000000e+00,1.75525295e+00,1.72358843e+00,2.15249842e+00,2.10720362e+00,2.33201941e+00,2.28584876e+00,2.44925841e+00,2.39569165e+00,2.52038078e+00,2.47252961e+00
1.90000000e+00,1.72056562e+00,1.68976701e+00,2.10988281e+00,2.06578529e+00,2.28573086e+00,2.24079100e+00,2.40053791e+00,2.34836816e+00,2.47017166e+00,2.42361171e+00
1.92000000e+00,1.68661496e+00,1.65670043e+00,2.06818244e+00,2.02530186e+00,2.24044393e+00,2.19675880e+00,2.35287757e+00,2.30212827e+00,2.42105906e+00,2.37581899e+00
1.94000000e+00,1.65338261e+00,1.62436884e+00,2.02737396e+00,1.98572831e+00,2.19613277e+00,2.15372438e+00,2.30624978e+00,2.25694236e+00,2.37301425e+00,2.32912052e+00
