D,Num_s0.05,New_s0.05,Num_s0.10,New_s0.10,Num_s0.15,New_s0.15,Num_s0.20,New_s0.20,Num_s0.25,New_s0.25
2.00000000e-02,6.72641801e+00,5.72550012e+00,7.01177757e+00,5.95771042e+00,7.14398344e+00,6.07582272e+00,7.23260221e+00,6.15359589e+00,7.28751014e+00,6.21098577e+00
4.00000000e-02,6.02631920e+00,5.51792138e+00,6.30937789e+00,5.76004142e+00,6.44027389e+00,5.88041981e+00,6.52791246e+00,5.95877069e+00,6.58216798e+00,6.01615103e+00
6.00000000e-02,5.61393473e+00,5.34829322e+00,5.89471419e+00,5.59650347e+00,6.02431595e+00,5.71805020e+00,6.11098754e+00,5.79651714e+00,6.16460014e+00,5.85366817e+00
8.00000000e-02,5.31936557e+00,5.20054509e+00,5.59788744e+00,5.45286385e+00,5.72621057e+00,5.57501607e+00,5.81192837e+00,5.65336880e+00,5.86490752e+00,5.71018613e+00
1.00000000e-01,5.08936721e+00,5.06785323e+00,5.36565309e+00,5.32302878e+00,5.49271319e+00,5.44543529e+00,5.57749035e+00,5.52353397e+00,5.62984551e+00,5.57995738e+00
1.20000000e-01,4.90022313e+00,4.94648400e+00,5.17429459e+00,5.20364400e+00,5.30010720e+00,5.32606323e+00,5.38395682e+00,5.40381433e+00,5.43569738e+00,5.45980583e+00
1.40000000e-01,4.73928221e+00,4.83410260e+00,5.01116075e+00,5.09260176e+00,5.13574136e+00,5.21485747e+00,5.21867647e+00,5.29219483e+00,5.26981181e+00,5.34772926e+00
1.60000000e-01,4.59899285e+00,4.72912087e+00,4.86869993e+00,4.98846233e+00,4.99206394e+00,5.11042085e+00,5.07409752e+00,5.18729593e+00,5.12463692e+00,5.24235632e+00
1.80000000e-01,4.47448411e+00,4.63039381e+00,4.74204109e+00,4.89018387e+00,4.86420384e+00,5.01174100e+00,4.94534877e+00,5.08811733e+00,4.99530146e+00,5.14269220e+00
2.00000000e-01,4.36243015e+00,4.53705979e+00,4.62785831e+00,4.79697971e+00,4.74883504e+00,4.91805258e+00,4.82910410e+00,4.99390237e+00,4.87847923e+00,5.04798411e+00
2.20000000e-01,4.26045878e+00,4.44844877e+00,4.52377929e+00,4.70823623e+00,4.64358513e+00,4.82875795e+00,4.72299102e+00,4.90405983e+00,4.77179765e+00,4.95764360e+00
2.40000000e-01,4.16681843e+00,4.36402597e+00,4.42805237e+00,4.62346225e+00,4.54670235e+00,4.74337822e+00,4.62525763e+00,4.81811572e+00,4.67350474e+00,4.87119880e+00
2.60000000e-01,4.08017896e+00,4.28335547e+00,4.33934727e+00,4.54225629e+00,4.45685631e+00,4.66152159e+00,4.53457344e+00,4.73568202e+00,4.58226991e+00,4.78826329e+00
2.80000000e-01,3.99950642e+00,4.20607565e+00,4.25662991e+00,4.46428444e+00,4.37301279e+00,4.58286189e+00,4.44990410e+00,4.65643558e+00,4.49705871e+00,4.70851513e+00
3.00000000e-01,3.92398114e+00,4.13188206e+00,4.17908050e+00,4.38926490e+00,4.29435188e+00,4.50712361e+00,4.37042956e+00,4.58010333e+00,4.41705098e+00,4.63168221e+00
3.20000000e-01,3.85294234e+00,4.06051517e+00,4.10603813e+00,4.31695688e+00,4.22021251e+00,4.43407114e+00,4.29548863e+00,4.50645160e+00,4.34158541e+00,4.55753165e+00
3.40000000e-01,3.78584956e+00,3.99175134e+00,4.03696215e+00,4.24715241e+00,4.15005391e+00,4.36350082e+00,4.22454038e+00,4.43527836e+00,4.27012099e+00,4.48586198e+00
3.60000000e-01,3.72225506e+00,3.92539597e+00,3.97140470e+00,4.17967015e+00,4.08342806e+00,4.29523493e+00,4.15713664e+00,4.36640721e+00,4.20220941e+00,4.41649733e+00
3.80000000e-01,3.66178381e+00,3.86127839e+00,3.90899056e+00,4.11435069e+00,4.01995959e+00,4.22911713e+00,4.09290191e+00,4.29968295e+00,4.13747505e+00,4.34928286e+00
4.00000000e-01,3.60411849e+00,3.79924774e+00,3.84940227e+00,4.05105289e+00,3.95933087e+00,4.16500889e+00,4.03151840e+00,4.23496796e+00,4.07560000e+00,4.28408127e+00
4.20000000e-01,3.54898829e+00,3.73916984e+00,3.79236882e+00,3.98965092e+00,3.90127075e+00,4.10278664e+00,3.97271479e+00,4.17213946e+00,4.01631283e+00,4.22077004e+00
4.40000000e-01,3.49616018e+00,3.68092462e+00,3.73765701e+00,3.93003201e+00,3.84554586e+00,4.04233951e+00,3.91625757e+00,4.11108728e+00,3.95937989e+00,4.15923918e+00
4.60000000e-01,3.44543222e+00,3.62440406e+00,3.68506473e+00,3.87209449e+00,3.79195391e+00,3.98356753e+00,3.86194428e+00,4.05171199e+00,3.90459861e+00,4.09938944e+00
4.80000000e-01,3.39662829e+00,3.56951054e+00,3.63441566e+00,3.81574630e+00,3.74031841e+00,3.92638011e+00,3.80959827e+00,3.99392349e+00,3.85179220e+00,4.04113084e+00
5.00000000e-01,3.34959380e+00,3.51615538e+00,3.58555503e+00,3.76090372e+00,3.69048443e+00,3.87069478e+00,3.75906444e+00,3.93763974e+00,3.80080545e+00,3.98438143e+00
