D,Num_z1.93,New_z1.93,Num_z3.87,New_z3.87,Num_z5.80,New_z5.80,Num_z7.74,New_z7.74,Num_z9.67,New_z9.67
2.00000000e-02,4.28909755e+00,4.21849522e+00,1.89140711e+01,1.83556410e+01,6.16459724e+01,5.83626628e+01,1.65992543e+02,1.45215408e+02,3.49107936e+02,2.87662755e+02
4.00000000e-02,4.23388649e+00,4.17483457e+00,1.84880769e+01,1.81276107e+01,5.84286961e+01,5.56721771e+01,1.44563936e+02,1.25973802e+02,2.59875258e+02,2.16938971e+02
6.00000000e-02,4.17872792e+00,4.12568812e+00,1.80640496e+01,1.77444343e+01,5.53097364e+01,5.24863753e+01,1.26429940e+02,1.10627576e+02,2.03929211e+02,1.75466153e+02
8.00000000e-02,4.12364788e+00,4.07402061e+00,1.76429298e+01,1.73191052e+01,5.23246653e+01,4.94502772e+01,1.11500338e+02,9.84912195e+01,1.66848107e+02,1.47477702e+02
1.00000000e-01,4.06867218e+00,4.02094467e+00,1.72256090e+01,1.68832622e+01,4.94970647e+01,4.66579326e+01,9.92543670e+01,8.86568881e+01,1.40696673e+02,1.27068933e+02
1.20000000e-01,4.01382632e+00,3.96703759e+00,1.68129173e+01,1.64491747e+01,4.68393809e+01,4.41080946e+01,8.91399611e+01,8.05076759e+01,1.21321220e+02,1.11429131e+02
1.40000000e-01,3.95913544e+00,3.91265125e+00,1.64056127e+01,1.60223385e+01,4.43550988e+01,4.17789781e+01,8.06964267e+01,7.36303304e+01,1.06409041e+02,9.90183551e+01
1.60000000e-01,3.90462419e+00,3.85802189e+00,1.60043748e+01,1.56053639e+01,4.20412599e+01,3.96459057e+01,7.35665709e+01,6.77395643e+01,9.45846733e+01,8.89105022e+01
1.80000000e-01,3.85031673e+00,3.80331858e+00,1.56098001e+01,1.51994750e+01,3.98907251e+01,3.76859544e+01,6.74792584e+01,6.26318486e+01,8.49825832e+01,8.05101899e+01
2.00000000e-01,3.79623664e+00,3.74866781e+00,1.52224009e+01,1.48051764e+01,3.78939456e+01,3.58790096e+01,6.22288878e+01,5.81576580e+01,7.70320879e+01,7.34148891e+01
2.20000000e-01,3.74240686e+00,3.69416739e+00,1.48426058e+01,1.44225794e+01,3.60402284e+01,3.42077488e+01,5.76584146e+01,5.42043389e+01,7.03420827e+01,6.73415044e+01
2.40000000e-01,3.68884964e+00,3.63989475e+00,1.44707631e+01,1.40515743e+01,3.43185803e+01,3.26573241e+01,5.36466094e+01,5.06851709e+01,6.46357264e+01,6.20845022e+01
2.60000000e-01,3.63558650e+00,3.58591238e+00,1.41071444e+01,1.36919262e+01,3.27182352e+01,3.12149957e+01,5.00987943e+01,4.75321526e+01,5.97116264e+01,5.74906943e+01
2.80000000e-01,3.58263819e+00,3.53227138e+00,1.37519511e+01,1.33433302e+01,3.12289616e+01,2.98697933e+01,4.69401602e+01,4.46911029e+01,5.54198093e+01,5.34433632e+01
3.00000000e-01,3.53002463e+00,3.47901403e+00,1.34053196e+01,1.30054442e+01,2.98412214e+01,2.86122254e+01,4.41109295e+01,4.21182478e+01,5.16463111e+01,4.98518940e+01
3.20000000e-01,3.47776491e+00,3.42617554e+00,1.30673285e+01,1.26779091e+01,2.85462352e+01,2.74340392e+01,4.15628268e+01,3.97777855e+01,4.83029903e+01,4.66447865e+01
3.40000000e-01,3.42587723e+00,3.37378545e+00,1.27380050e+01,1.23603612e+01,2.73359893e+01,2.63280221e+01,3.92564788e+01,3.76401165e+01,4.53206105e+01,4.37648199e+01
3.60000000e-01,3.37437892e+00,3.32186861e+00,1.24173315e+01,1.20524398e+01,2.62032077e+01,2.52878398e+01,3.71594761e+01,3.56805319e+01,4.26440323e+01,4.11656271e+01
3.80000000e-01,3.32328639e+00,3.27044600e+00,1.21052517e+01,1.17537918e+01,2.51413071e+01,2.43079027e+01,3.52449144e+01,3.38782255e+01,4.02288006e+01,3.88092177e+01
4.00000000e-01,3.27261513e+00,3.21953528e+00,1.18016763e+01,1.14640743e+01,2.41443422e+01,2.33832572e+01,3.34902820e+01,3.22155410e+01,3.80386769e+01,3.66641557e+01
4.20000000e-01,3.22237971e+00,3.16915135e+00,1.15064889e+01,1.11829567e+01,2.32069487e+01,2.25094941e+01,3.18766057e+01,3.06773880e+01,3.60438256e+01,3.47041965e+01
