D,Num_z1.93,New_z1.93,Num_z3.87,New_z3.87,Num_z5.80,New_z5.80,Num_z7.74,New_z7.74,Num_z9.67,New_z9.67
2.00000000e-02,1.99981869e+00,2.05960829e+00,3.79888407e+00,3.88852530e+00,5.79179883e+00,5.78290349e+00,7.74186966e+00,7.31165635e+00,9.31004927e+00,8.35525767e+00
4.00000000e-02,1.99927508e+00,2.05536399e+00,3.79554868e+00,3.86453124e+00,5.76784361e+00,5.69244950e+00,7.59435435e+00,7.10999904e+00,8.82497829e+00,8.04043889e+00
6.00000000e-02,1.99837021e+00,2.05038571e+00,3.79003052e+00,3.83970778e+00,5.72989942e+00,5.60908889e+00,7.40479736e+00,6.93825606e+00,8.38735005e+00,7.78486782e+00
8.00000000e-02,1.99710576e+00,2.04486756e+00,3.78238909e+00,3.81439121e+00,5.68040902e+00,5.53038528e+00,7.20494253e+00,6.78445886e+00,8.01600573e+00,7.56323816e+00
1.00000000e-01,1.99548409e+00,2.03891508e+00,3.77270433e+00,3.78874829e+00,5.62200758e+00,5.45521239e+00,7.00952200e+00,6.64337516e+00,7.69858789e+00,7.36485666e+00
1.20000000e-01,1.99350819e+00,2.03259677e+00,3.76107367e+00,3.76288040e+00,5.55715802e+00,5.38291484e+00,6.82410627e+00,6.51208121e+00,7.42288630e+00,7.18389302e+00
1.40000000e-01,1.99118169e+00,2.02596161e+00,3.74760860e+00,3.73685624e+00,5.48795770e+00,5.31306157e+00,6.65021497e+00,6.38871707e+00,7.17974748e+00,7.01671173e+00
1.60000000e-01,1.98850880e+00,2.01904681e+00,3.73243107e+00,3.71072566e+00,5.41608371e+00,5.24534626e+00,6.48771123e+00,6.27199881e+00,6.96252279e+00,6.86084595e+00
1.80000000e-01,1.98549433e+00,2.01188187e+00,3.71567000e+00,3.68452658e+00,5.34281973e+00,5.17953921e+00,6.33583643e+00,6.16098849e+00,6.76633101e+00,6.71452105e+00
2.00000000e-01,1.98214361e+00,2.00449096e+00,3.69745793e+00,3.65828883e+00,5.26911760e+00,5.11546118e+00,6.19364793e+00,6.05497185e+00,6.58751642e+00,6.57640421e+00
2.20000000e-01,1.97846249e+00,1.99689433e+00,3.67792807e+00,3.63203653e+00,5.19566572e+00,5.05296804e+00,6.06020035e+00,5.95338730e+00,6.42328339e+00,6.44546090e+00
2.40000000e-01,1.97445729e+00,1.98910930e+00,3.65721182e+00,3.60578956e+00,5.12295080e+00,4.99194102e+00,5.93461587e+00,5.85578196e+00,6.27145205e+00,6.32086680e+00
2.60000000e-01,1.97013477e+00,1.98115090e+00,3.63543668e+00,3.57956460e+00,5.05130868e+00,4.93228034e+00,5.81610645e+00,5.76178308e+00,6.13029259e+00,6.20195101e+00
2.80000000e-01,1.96550210e+00,1.97303236e+00,3.61272472e+00,3.55337581e+00,4.98096396e+00,4.87390080e+00,5.70397549e+00,5.67107860e+00,5.99841077e+00,6.08815784e+00
3.00000000e-01,1.96056679e+00,1.96476544e+00,3.58919144e+00,3.52723535e+00,4.91206013e+00,4.81672865e+00,5.59761125e+00,5.58340350e+00,5.87466718e+00,5.97902011e+00
3.20000000e-01,1.95533666e+00,1.95636068e+00,3.56494499e+00,3.50115377e+00,4.84468193e+00,4.76069930e+00,5.49647755e+00,5.49852994e+00,5.75811916e+00,5.87414012e+00
3.40000000e-01,1.94981985e+00,1.94782762e+00,3.54008579e+00,3.47514028e+00,4.77887185e+00,4.70575564e+00,5.40010409e+00,5.41626000e+00,5.64797820e+00,5.77317556e+00
3.60000000e-01,1.94402469e+00,1.93917496e+00,3.51470634e+00,3.44920297e+00,4.71464227e+00,4.65184671e+00,5.30807756e+00,5.33642016e+00,5.54357825e+00,5.67582899e+00
3.80000000e-01,1.93795975e+00,1.93041064e+00,3.48889132e+00,3.42334903e+00,4.65198430e+00,4.59892668e+00,5.22003360e+00,5.25885704e+00,5.44435169e+00,5.58183981e+00
4.00000000e-01,1.93163373e+00,1.92154200e+00,3.46271777e+00,3.39758480e+00,4.59087423e+00,4.54695411e+00,5.13565004e+00,5.18343414e+00,5.34981094e+00,5.49097798e+00
4.20000000e-01,1.92505548e+00,1.91257582e+00,3.43625543e+00,3.37191596e+00,4.53127827e+00,4.49589122e+00,5.05464095e+00,5.11002915e+00,5.25953411e+00,5.40303909e+00
4.40000000e-01,1.91823393e+00,1.90351839e+00,3.40956716e+00,3.34634759e+00,4.47315595e+00,4.44570347e+00,4.97675169e+00,5.03853191e+00,5.17315373e+00,5.31784042e+00
4.60000000e-01,1.91117806e+00,1.89437558e+00,3.38270938e+00,3.32088426e+00,4.41646264e+00,4.39635907e+00,4.90175471e+00,4.96884264e+00,5.09034783e+00,5.23521777e+00
4.80000000e-01,1.90389688e+00,1.88515290e+00,3.35573253e+00,3.29553007e+00,4.36115135e+00,4.34782864e+00,4.82944594e+00,4.90087058e+00,5.01083269e+00,5.15502287e+00
