D,p,source,u
2.00000000e-02,0.2662,NN,4.10169220e+00
2.00000000e-02,0.2662,PBE,3.68917057e+00
2.00000000e-02,0.5324,NN,4.77191734e+00
2.00000000e-02,0.5324,PBE,4.78656148e+00
2.00000000e-02,0.7985,NN,5.12015629e+00
2.00000000e-02,0.7985,PBE,5.07388008e+00
2.00000000e-02,1.0647,NN,5.37544250e+00
2.00000000e-02,1.0647,PBE,5.29667653e+00
2.00000000e-02,1.3308,NN,5.58039761e+00
2.00000000e-02,1.3308,PBE,5.63247066e+00
4.00000000e-02,0.2662,NN,3.36208344e+00
4.00000000e-02,0.2662,PBE,2.99755642e+00
4.00000000e-02,0.5324,NN,4.01923990e+00
4.00000000e-02,0.5324,PBE,4.09262343e+00
4.00000000e-02,0.7985,NN,4.38134670e+00
4.00000000e-02,0.7985,PBE,4.37951832e+00
4.00000000e-02,1.0647,NN,4.64662695e+00
4.00000000e-02,1.0647,PBE,4.60194017e+00
4.00000000e-02,1.3308,NN,4.85840178e+00
4.00000000e-02,1.3308,PBE,4.93703331e+00
6.00000000e-02,0.2662,NN,2.93542671e+00
6.00000000e-02,0.2662,PBE,2.59484560e+00
6.00000000e-02,0.5324,NN,3.59433126e+00
6.00000000e-02,0.5324,PBE,3.68650658e+00
6.00000000e-02,0.7985,NN,3.96485972e+00
6.00000000e-02,0.7985,PBE,3.97291772e+00
6.00000000e-02,1.0647,NN,4.23494101e+00
6.00000000e-02,1.0647,PBE,4.19493752e+00
6.00000000e-02,1.3308,NN,4.44937897e+00
6.00000000e-02,1.3308,PBE,4.52930681e+00
8.00000000e-02,0.2662,NN,2.63582087e+00
8.00000000e-02,0.2662,PBE,2.31110558e+00
8.00000000e-02,0.5324,NN,3.29796743e+00
8.00000000e-02,0.5324,PBE,3.39831148e+00
8.00000000e-02,0.7985,NN,3.67438889e+00
8.00000000e-02,0.7985,PBE,3.68417911e+00
8.00000000e-02,1.0647,NN,3.94742990e+00
8.00000000e-02,1.0647,PBE,3.90576947e+00
8.00000000e-02,1.3308,NN,4.16322708e+00
8.00000000e-02,1.3308,PBE,4.23939211e+00
1.00000000e-01,0.2662,NN,2.40569472e+00
