D,NN_z1.93,NN_z3.87,NN_z5.80,NN_z7.74,NN_z9.66,PBE_z1.93,PBE_z3.87,PBE_z5.80,PBE_z7.74,PBE_z9.66
2.00000000e-02,1.92721081e+00,3.82538128e+00,5.79783106e+00,7.76644468e+00,9.34151936e+00,1.99981869e+00,3.79888407e+00,5.79179883e+00,7.74186966e+00,9.31004927e+00
4.00000000e-02,1.92881501e+00,3.86310530e+00,5.79537678e+00,7.54635191e+00,8.80192661e+00,1.99927508e+00,3.79554868e+00,5.76784361e+00,7.59435435e+00,8.82497829e+00
6.00000000e-02,1.92757952e+00,3.87268043e+00,5.75149155e+00,7.32966089e+00,8.37297916e+00,1.99837021e+00,3.79003052e+00,5.72989942e+00,7.40479736e+00,8.38735005e+00
8.00000000e-02,1.92560470e+00,3.86987281e+00,5.69103622e+00,7.12705421e+00,8.01617336e+00,1.99710576e+00,3.78238909e+00,5.68040902e+00,7.20494253e+00,8.01600573e+00
1.00000000e-01,1.92335892e+00,3.86018419e+00,5.62275553e+00,6.93884230e+00,7.71022320e+00,1.99548409e+00,3.77270433e+00,5.62200758e+00,7.00952200e+00,7.69858789e+00
1.20000000e-01,1.92094576e+00,3.84613252e+00,5.55066919e+00,6.76376820e+00,7.44228411e+00,1.99350819e+00,3.76107367e+00,5.55715802e+00,6.82410627e+00,7.42288630e+00
1.40000000e-01,1.91837549e+00,3.82907224e+00,5.47688866e+00,6.60039377e+00,7.20394945e+00,1.99118169e+00,3.74760860e+00,5.48795770e+00,6.65021497e+00,7.17974748e+00
1.60000000e-01,1.91563237e+00,3.80981088e+00,5.40263367e+00,6.44740629e+00,6.98938370e+00,1.98850880e+00,3.73243107e+00,5.41608371e+00,6.48771123e+00,6.96252279e+00
1.80000000e-01,1.91269720e+00,3.78887939e+00,5.32864428e+00,6.30367517e+00,6.79436970e+00,1.98549433e+00,3.71567000e+00,5.34281973e+00,6.33583643e+00,6.76633101e+00
2.00000000e-01,1.90955186e+00,3.76663709e+00,5.25537205e+00,6.16822863e+00,6.61571074e+00,1.98214361e+00,3.69745793e+00,5.26911760e+00,6.19364793e+00,6.58751642e+00
2.20000000e-01,1.90618312e+00,3.74334431e+00,5.18311882e+00,6.04022598e+00,6.45095062e+00,1.97846249e+00,3.67792807e+00,5.19566572e+00,6.06020035e+00,6.42328339e+00
2.40000000e-01,1.90258014e+00,3.71920085e+00,5.11206102e+00,5.91894913e+00,6.29814863e+00,1.97445729e+00,3.65721182e+00,5.12295080e+00,5.93461587e+00,6.27145205e+00
2.60000000e-01,1.89873409e+00,3.69435573e+00,5.04232502e+00,5.80378628e+00,6.15574741e+00,1.97013477e+00,3.63543668e+00,5.05130868e+00,5.81610645e+00,6.13029259e+00
2.80000000e-01,1.89464128e+00,3.66893101e+00,4.97397232e+00,5.69418669e+00,6.02246761e+00,1.96550210e+00,3.61272472e+00,4.98096396e+00,5.70397549e+00,5.99841077e+00
3.00000000e-01,1.89029825e+00,3.64302516e+00,4.90704203e+00,5.58969402e+00,5.89725113e+00,1.96056679e+00,3.58919144e+00,4.91206013e+00,5.59761125e+00,5.87466718e+00
3.20000000e-01,1.88570487e+00,3.61672711e+00,4.84154558e+00,5.48988104e+00,5.77921343e+00,1.95533666e+00,3.56494499e+00,4.84468193e+00,5.49647755e+00,5.75811916e+00
3.40000000e-01,1.88086069e+00,3.59009933e+00,4.77748299e+00,5.39438725e+00,5.66760778e+00,1.94981985e+00,3.54008579e+00,4.77887185e+00,5.40010409e+00,5.64797820e+00
3.60000000e-01,1.87576771e+00,3.56320596e+00,4.71484137e+00,5.30288267e+00,5.56179142e+00,1.94402469e+00,3.51470634e+00,4.71464227e+00,5.30807756e+00,5.54357825e+00
3.80000000e-01,1.87042856e+00,3.53610039e+00,4.65359402e+00,5.21508074e+00,5.46121550e+00,1.93795975e+00,3.48889132e+00,4.65198430e+00,5.22003360e+00,5.44435169e+00
4.00000000e-01,1.86484623e+00,3.50882816e+00,4.59372425e+00,5.13071394e+00,5.36540174e+00,1.93163373e+00,3.46271777e+00,4.59087423e+00,5.13565004e+00,5.34981094e+00
4.20000000e-01,1.85902631e+00,3.48142600e+00,4.53519249e+00,5.04955101e+00,5.27393436e+00,1.92505548e+00,3.43625543e+00,4.53127827e+00,5.05464095e+00,5.25953411e+00
4.40000000e-01,1.85297203e+00,3.45393467e+00,4.47796869e+00,4.97137690e+00,5.18644619e+00,1.91823393e+00,3.40956716e+00,4.47315595e+00,4.97675169e+00,5.17315373e+00
4.60000000e-01,1.84668970e+00,3.42638731e+00,4.42201900e+00,4.89599609e+00,5.10261631e+00,1.91117806e+00,3.38270938e+00,4.41646264e+00,4.90175471e+00,5.09034783e+00
4.80000000e-01,1.84018373e+00,3.39880848e+00,4.36731005e+00,4.82323599e+00,5.02216005e+00,1.90389688e+00,3.35573253e+00,4.36115135e+00,4.82944594e+00,5.01083269e+00
5.00000000e-01,1.83346188e+00,3.37122655e+00,4.31380224e+00,4.75293398e+00,4.94482088e+00,1.89639939e+00,3.32868158e+00,4.30717404e+00,4.75964178e+00,4.93435709e+00
5.20000000e-01,1.82652843e+00,3.34366655e+00,4.26146317e+00,4.68494606e+00,4.87037849e+00,1.88869458e+00,3.30159648e+00,4.25448252e+00,4.69217653e+00,4.86069746e+00
5.40000000e-01,1.81939054e+00,3.31614804e+00,4.21025562e+00,4.61913347e+00,4.79861641e+00,1.88079134e+00,3.27451261e+00,4.20302915e+00,4.62690016e+00,4.78965403e+00
5.60000000e-01,1.81205595e+00,3.28869319e+00,4.16014624e+00,4.55537224e+00,4.72935963e+00,1.87269852e+00,3.24746124e+00,4.15276730e+00,4.56367646e+00,4.72104756e+00
5.80000000e-01,1.80453014e+00,3.26131511e+00,4.11109972e+00,4.49355078e+00,4.66243982e+00,1.86442484e+00,3.22046987e+00,4.10365163e+00,4.50238141e+00,4.65471660e+00
6.00000000e-01,1.79682052e+00,3.23403287e+00,4.06308079e+00,4.43356466e+00,4.59771061e+00,1.85597890e+00,3.19356266e+00,4.05563832e+00,4.44290178e+00,4.59051524e+00
6.20000000e-01,1.78893483e+00,3.20686007e+00,4.01606178e+00,4.37531328e+00,4.53502798e+00,1.84736917e+00,3.16676077e+00,4.00868518e+00,4.38513398e+00,4.52831117e+00
6.40000000e-01,1.78087914e+00,3.17980933e+00,3.97000957e+00,4.31870794e+00,4.47427320e+00,1.83860397e+00,3.14008263e+00,3.96275172e+00,4.32898293e+00,4.46798403e+00
6.60000000e-01,1.77266228e+00,3.15289354e+00,3.92488861e+00,4.26365995e+00,4.41533041e+00,1.82969145e+00,3.11354427e+00,3.91779917e+00,4.27436123e+00,4.40942405e+00
6.80000000e-01,1.76428831e+00,3.12612176e+00,3.88067627e+00,4.21009684e+00,4.35809231e+00,1.82063956e+00,3.08715956e+00,3.87379046e+00,4.22118834e+00,4.35253081e+00
7.00000000e-01,1.75576782e+00,3.09950447e+00,3.83734107e+00,4.15794277e+00,4.30247068e+00,1.81145608e+00,3.06094044e+00,3.83069023e+00,4.16938988e+00,4.29721221e+00
7.20000000e-01,1.74710584e+00,3.07305241e+00,3.79485440e+00,4.10713291e+00,4.24837208e+00,1.80214862e+00,3.03489714e+00,3.78846473e+00,4.11889705e+00,4.24338361e+00
7.40000000e-01,1.73831069e+00,3.04677010e+00,3.75318956e+00,4.05760098e+00,4.19571352e+00,1.79272453e+00,3.00903836e+00,3.74708180e+00,4.06964604e+00,4.19096702e+00
7.60000000e-01,1.72938907e+00,3.02066660e+00,3.71232319e+00,4.00928688e+00,4.14442587e+00,1.78319101e+00,2.98337147e+00,3.70651080e+00,4.02157763e+00,4.13989040e+00
7.80000000e-01,1.72034729e+00,2.99474454e+00,3.67223096e+00,3.96213746e+00,4.09443665e+00,1.77355501e+00,2.95790260e+00,3.66672255e+00,3.97463670e+00,4.09008713e+00
8.00000000e-01,1.71119320e+00,2.96901512e+00,3.63288283e+00,3.91609859e+00,4.04568148e+00,1.76382329e+00,2.93263685e+00,3.62768925e+00,3.92877190e+00,4.04149543e+00
8.20000000e-01,1.70193219e+00,2.94347954e+00,3.59426022e+00,3.87112308e+00,3.99810052e+00,1.75400238e+00,2.90757834e+00,3.58938443e+00,3.88393532e+00,3.99405793e+00
8.40000000e-01,1.69257200e+00,2.91814137e+00,3.55633950e+00,3.82716465e+00,3.95163918e+00,1.74409862e+00,2.88273039e+00,3.55178288e+00,3.84008215e+00,3.94772123e+00
8.60000000e-01,1.68311954e+00,2.89300609e+00,3.51910138e+00,3.78417587e+00,3.90624547e+00,1.73411811e+00,2.85809554e+00,3.51486057e+00,3.79717048e+00,3.90243559e+00
8.80000000e-01,1.67357945e+00,2.86807632e+00,3.48252082e+00,3.74212217e+00,3.86187148e+00,1.72406675e+00,2.83367571e+00,3.47859460e+00,3.75516100e+00,3.85815455e+00
9.00000000e-01,1.66395915e+00,2.84335518e+00,3.44658351e+00,3.70096040e+00,3.81847525e+00,1.71395023e+00,2.80947223e+00,3.44296316e+00,3.71401684e+00,3.81483471e+00
9.20000000e-01,1.65426576e+00,2.81884289e+00,3.41126513e+00,3.66065931e+00,3.77600789e+00,1.70377403e+00,2.78548591e+00,3.40794543e+00,3.67370332e+00,3.77243540e+00
9.40000000e-01,1.64450228e+00,2.79454470e+00,3.37654853e+00,3.62117720e+00,3.73443294e+00,1.69354342e+00,2.76171714e+00,3.37352155e+00,3.63418783e+00,3.73091850e+00
