D,NN_p1,NN_p5,NN_p20,NN_p100,NN_p500,NN_p3000,PBE_p1,PBE_p5,PBE_p20,PBE_p100,PBE_p500,PBE_p3000
2.00000000e-02,8.43570042e+00,4.08708496e+01,1.15468262e+02,2.86786011e+02,5.17255554e+02,7.09950378e+02,7.79368212e+00,4.05480790e+01,1.28723518e+02,3.77074941e+02,7.62998639e+02,1.03690780e+03
4.00000000e-02,7.15357065e+00,3.46490288e+01,9.63488922e+01,2.23899368e+02,3.62479919e+02,4.41934540e+02,6.31685881e+00,3.31505555e+01,1.00025181e+02,2.54733596e+02,4.15773724e+02,4.87486201e+02
6.00000000e-02,6.16660976e+00,3.02046242e+01,8.30579529e+01,1.83353363e+02,2.76126251e+02,3.15047302e+02,5.50659776e+00,2.90858004e+01,8.46272578e+01,1.96042238e+02,2.86684079e+02,3.19486784e+02
8.00000000e-02,5.43634462e+00,2.69747200e+01,7.33794403e+01,1.55101654e+02,2.21150986e+02,2.41510681e+02,4.94623235e+00,2.62704854e+01,7.41976839e+01,1.59863853e+02,2.18382042e+02,2.37193022e+02
1.00000000e-01,4.87950659e+00,2.45091934e+01,6.59513397e+01,1.34198441e+02,1.83143997e+02,1.93849335e+02,4.51909596e+00,2.41212823e+01,6.64043549e+01,1.34950669e+02,1.75946743e+02,1.88149984e+02
1.20000000e-01,4.44038248e+00,2.25485859e+01,6.00213203e+01,1.18055679e+02,1.55359100e+02,1.60652054e+02,4.17518867e+00,2.23881963e+01,6.02484572e+01,1.16633436e+02,1.46979640e+02,1.55538536e+02
1.40000000e-01,4.08378935e+00,2.09393063e+01,5.51453056e+01,1.05186501e+02,1.34210342e+02,1.36328018e+02,3.88832006e+00,2.09402800e+01,5.52073234e+01,1.02555724e+02,1.25932939e+02,1.32268415e+02
1.60000000e-01,3.78700304e+00,1.95854034e+01,5.10445824e+01,9.46726761e+01,1.17610786e+02,1.17819588e+02,3.64301403e+00,1.97001574e+01,5.09725274e+01,9.13803023e+01,1.09943900e+02,1.14822777e+02
1.80000000e-01,3.53495932e+00,1.84240952e+01,4.75338554e+01,8.59146042e+01,1.04262894e+02,1.03317207e+02,3.42935006e+00,1.86182305e+01,4.73467091e+01,8.22853748e+01,9.73832934e+01,1.01255964e+02
2.00000000e-01,3.31730103e+00,1.74123268e+01,4.44846535e+01,7.85025101e+01,9.33179626e+01,9.16843262e+01,3.24058222e+00,1.76607739e+01,4.41959561e+01,7.47355794e+01,8.72547616e+01,9.04032022e+01
2.20000000e-01,3.12664866e+00,1.65195522e+01,4.18048325e+01,7.21459579e+01,8.41971207e+01,8.21717529e+01,3.07191265e+00,1.68038027e+01,4.14252736e+01,6.83661436e+01,7.89143759e+01,8.15241642e+01
2.40000000e-01,2.95771432e+00,1.57234316e+01,3.94257126e+01,6.66338730e+01,7.64922714e+01,7.42670746e+01,2.91980615e+00,1.60296448e+01,3.89648762e+01,6.29194695e+01,7.19273193e+01,7.41255975e+01
2.60000000e-01,2.80654263e+00,1.50072088e+01,3.72956505e+01,6.18082466e+01,6.99073257e+01,6.76078568e+01,2.78158220e+00,1.53249018e+01,3.67620312e+01,5.82082302e+01,6.59893034e+01,6.78661068e+01
2.80000000e-01,2.67010927e+00,1.43578577e+01,3.53742943e+01,5.75483627e+01,6.42227402e+01,6.19316788e+01,2.65515972e+00,1.46791723e+01,3.47759537e+01,5.40928159e+01,6.08809717e+01,6.25018485e+01
3.00000000e-01,2.54610038e+00,1.37652969e+01,3.36299477e+01,5.37606659e+01,5.92722321e+01,5.70434723e+01,2.53889052e+00,1.40842190e+01,3.29744783e+01,5.04669840e+01,5.64401803e+01,5.78539886e+01
3.20000000e-01,2.43268466e+00,1.32214718e+01,3.20374451e+01,5.03712921e+01,5.49275894e+01,5.27957840e+01,2.43144696e+00,1.35334076e+01,3.13318124e+01,4.72484154e+01,5.25444761e+01,5.37883789e+01
3.40000000e-01,2.32838655e+00,1.27197866e+01,3.05761604e+01,4.73210068e+01,5.10883942e+01,4.90750732e+01,2.33174378e+00,1.30213153e+01,2.98269763e+01,4.43723179e+01,4.90996460e+01,5.02024137e+01
3.60000000e-01,2.23202920e+00,1.22549047e+01,2.92290688e+01,4.45621223e+01,4.76748886e+01,4.57926483e+01,2.23888250e+00,1.25434534e+01,2.84426908e+01,4.17869839e+01,4.60320157e+01,4.70162693e+01
3.80000000e-01,2.14263797e+00,1.18223562e+01,2.79822636e+01,4.20551758e+01,4.46231308e+01,4.28782005e+01,2.15211085e+00,1.20960637e+01,2.71645683e+01,3.94506383e+01,4.32831402e+01,4.41669107e+01
4.00000000e-01,2.05938649e+00,1.14184008e+01,2.68240204e+01,3.97680664e+01,4.18810921e+01,4.02751541e+01,2.07079266e+00,1.16759689e+01,2.59805125e+01,3.73291576e+01,4.08060599e+01,4.16038968e+01
4.20000000e-01,1.98162007e+00,1.10399084e+01,2.57444553e+01,3.76734123e+01,3.94060364e+01,3.79379807e+01,1.99438513e+00,1.12804581e+01,2.48802650e+01,3.53943914e+01,3.85626109e+01,3.92863839e+01
4.40000000e-01,1.90874779e+00,1.06841850e+01,2.47351761e+01,3.57486534e+01,3.71625977e+01,3.58295097e+01,1.92242145e+00,1.09072004e+01,2.38550583e+01,3.36229078e+01,3.65214569e+01,3.71809455e+01
4.60000000e-01,1.84028077e+00,1.03489418e+01,2.37888794e+01,3.39744530e+01,3.51214104e+01,3.39186821e+01,1.85449721e+00,1.05541767e+01,2.28973467e+01,3.19950434e+01,3.46566270e+01,3.52599617e+01
4.80000000e-01,1.77580321e+00,1.00321264e+01,2.28995895e+01,3.23342628e+01,3.32576103e+01,3.21799393e+01,1.79025976e+00,1.02196267e+01,2.20005944e+01,3.04941736e+01,3.29464148e+01,3.35004101e+01
5.00000000e-01,1.71493804e+00,9.73206615e+00,2.20616817e+01,3.08141041e+01,3.15502129e+01,3.05916767e+01,1.72939976e+00,9.90200661e+00,2.11591078e+01,2.91061469e+01,3.13725367e+01,3.18829476e+01
5.20000000e-01,1.65737402e+00,9.44723892e+00,2.12706757e+01,2.94017353e+01,2.99814606e+01,2.91357117e+01,1.67164437e+00,9.59995486e+00,2.03679000e+01,2.78188410e+01,2.99194832e+01,3.03912030e+01
5.40000000e-01,1.60283077e+00,9.17630386e+00,2.05224113e+01,2.80864544e+01,2.85358772e+01,2.77966690e+01,1.61675172e+00,9.31226475e+00,1.96225823e+01,2.66218109e+01,2.85740115e+01,2.90112275e+01
5.60000000e-01,1.55105853e+00,8.91810417e+00,1.98132954e+01,2.68591537e+01,2.72003288e+01,2.65613155e+01,1.56450642e+00,9.03786181e+00,1.89192745e+01,2.55060090e+01,2.73247462e+01,2.77310624e+01
5.80000000e-01,1.50184011e+00,8.67158031e+00,1.91401939e+01,2.57116508e+01,2.59634132e+01,2.54184628e+01,1.51471579e+00,8.77578518e+00,1.82545321e+01,2.44635579e+01,2.61618611e+01,2.65403966e+01
6.00000000e-01,1.45498025e+00,8.43586159e+00,1.85002728e+01,2.46367931e+01,2.48152027e+01,2.43580704e+01,1.46720683e+00,8.52517221e+00,1.76252850e+01,2.34875676e+01,2.50768240e+01,2.54302918e+01
6.20000000e-01,1.41030407e+00,8.21011066e+00,1.78909779e+01,2.36282806e+01,2.37469234e+01,2.33718739e+01,1.42182363e+00,8.28524553e+00,1.70287874e+01,2.25719852e+01,2.40621907e+01,2.43929618e+01
6.40000000e-01,1.36765397e+00,7.99359179e+00,1.73101788e+01,2.26805191e+01,2.27510567e+01,2.24523678e+01,1.37842515e+00,8.05530221e+00,1.64625748e+01,2.17114713e+01,2.31114369e+01,2.34215923e+01
6.60000000e-01,1.32689452e+00,7.78563690e+00,1.67558231e+01,2.17885056e+01,2.18208103e+01,2.15931683e+01,1.33688345e+00,7.83470460e+00,1.59244286e+01,2.09012980e+01,2.22188201e+01,2.25101940e+01
6.80000000e-01,1.28789616e+00,7.58569288e+00,1.62260742e+01,2.09478264e+01,2.09502525e+01,2.07884541e+01,1.29708209e+00,7.62287248e+00,1.54123452e+01,2.01372636e+01,2.13792660e+01,2.16534813e+01
7.00000000e-01,1.25054181e+00,7.39318895e+00,1.57193756e+01,2.01544170e+01,2.01342163e+01,2.00333748e+01,1.25891479e+00,7.41927643e+00,1.49245106e+01,1.94156214e+01,2.05882740e+01,2.08467721e+01
7.20000000e-01,1.21472752e+00,7.20768309e+00,1.52341719e+01,1.94046745e+01,1.93679199e+01,1.93234024e+01,1.22228431e+00,7.22343206e+00,1.44592775e+01,1.87330197e+01,1.98418385e+01,2.00859037e+01
7.40000000e-01,1.18035793e+00,7.02870083e+00,1.47691908e+01,1.86953144e+01,1.86472912e+01,1.86546631e+01,1.18710145e+00,7.03489510e+00,1.40151470e+01,1.80864512e+01,1.91363825e+01,1.93671628e+01
7.60000000e-01,1.14734352e+00,6.85589075e+00,1.43232441e+01,1.80234776e+01,1.79684658e+01,1.80236244e+01,1.15328416e+00,6.85325709e+00,1.35907514e+01,1.74732094e+01,1.84687018e+01,1.86872268e+01
7.80000000e-01,1.11560798e+00,6.68885279e+00,1.38951521e+01,1.73864918e+01,1.73281002e+01,1.74271698e+01,1.12075686e+00,6.67814165e+00,1.31848403e+01,1.68908524e+01,1.78359177e+01,1.80431132e+01
8.00000000e-01,1.08507788e+00,6.52729750e+00,1.34839277e+01,1.67818985e+01,1.67232552e+01,1.68625145e+01,1.08944972e+00,6.50920124e+00,1.27962678e+01,1.63371710e+01,1.72354364e+01,1.74321374e+01
8.20000000e-01,1.05568063e+00,6.37090492e+00,1.30886335e+01,1.62074680e+01,1.61511822e+01,1.63271255e+01,1.05929815e+00,6.34611429e+00,1.24239820e+01,1.58101619e+01,1.66649151e+01,1.68518765e+01
8.40000000e-01,1.02736139e+00,6.21940422e+00,1.27084494e+01,1.56612196e+01,1.56093740e+01,1.58187418e+01,1.03024225e+00,6.18858270e+00,1.20670153e+01,1.53080039e+01,1.61222321e+01,1.63001381e+01
8.60000000e-01,1.00005722e+00,6.07254553e+00,1.23425684e+01,1.51413279e+01,1.50956802e+01,1.53353987e+01,1.00222637e+00,6.03632962e+00,1.17244759e+01,1.48290378e+01,1.56054610e+01,1.57749333e+01
8.80000000e-01,9.73713577e-01,5.93010187e+00,1.19902220e+01,1.46460466e+01,1.46079874e+01,1.48751860e+01,9.75198767e-01,5.88909750e+00,1.13955405e+01,1.43717490e+01,1.51128494e+01,1.52744540e+01
9.00000000e-01,9.48287308e-01,5.79186392e+00,1.16507511e+01,1.41738119e+01,1.41444426e+01,1.44364491e+01,9.49111195e-01,5.74664635e+00,1.10794480e+01,1.39347517e+01,1.46427990e+01,1.47970525e+01
9.20000000e-01,9.23727810e-01,5.65763950e+00,1.13235683e+01,1.37232800e+01,1.37034864e+01,1.40176830e+01,9.23918633e-01,5.60875217e+00,1.07754933e+01,1.35167757e+01,1.41938495e+01,1.43412243e+01
9.40000000e-01,8.99992466e-01,5.52722359e+00,1.10080318e+01,1.32930250e+01,1.32834711e+01,1.36175165e+01,8.99578998e-01,5.47520559e+00,1.04830224e+01,1.31166547e+01,1.37646638e+01,1.39055927e+01
9.60000000e-01,8.77042532e-01,5.40045500e+00,1.07036295e+01,1.28819351e+01,1.28830652e+01,1.32347183e+01,8.76052897e-01,5.34581066e+00,1.02014278e+01,1.27333155e+01,1.33540154e+01,1.34888955e+01
9.80000000e-01,8.54843736e-01,5.27719784e+00,1.04098415e+01,1.24887791e+01,1.25008974e+01,1.28681145e+01,8.53303403e-01,5.22038367e+00,9.93014419e+00,1.23657692e+01,1.29607770e+01,1.30899737e+01
1.00000000e+00,8.33357394e-01,5.15729904e+00,1.01262016e+01,1.21125650e+01,1.21358509e+01,1.25166798e+01,8.31295860e-01,5.09875223e+00,9.66864527e+00,1.20131032e+01,1.25839108e+01,1.27077606e+01
1.02000000e+00,8.12552035e-01,5.04061794e+00,9.85225487e+00,1.17523460e+01,1.17868605e+01,1.21794357e+01,8.09997704e-01,4.98075433e+00,9.41643993e+00,1.16744735e+01,1.22224598e+01,1.23412733e+01
1.04000000e+00,7.92398274e-01,4.92704391e+00,9.58754539e+00,1.14071617e+01,1.14528856e+01,1.18555393e+01,7.89378293e-01,4.86623752e+00,9.17306962e+00,1.13490989e+01,1.18755402e+01,1.19896041e+01
1.06000000e+00,7.72868335e-01,4.81643105e+00,9.33175373e+00,1.10762386e+01,1.11330070e+01,1.15441256e+01,7.69408768e-01,4.75505823e+00,8.93810555e+00,1.10362548e+01,1.15423340e+01,1.16519141e+01
1.08000000e+00,7.53932595e-01,4.70869637e+00,9.08443356e+00,1.07587700e+01,1.08263769e+01,1.12445221e+01,7.50061917e-01,4.64708106e+00,8.71114633e+00,1.07352684e+01,1.12220838e+01,1.13274262e+01
1.10000000e+00,7.35566437e-01,4.60372925e+00,8.84527779e+00,1.04540539e+01,1.05322542e+01,1.09560108e+01,7.31312053e-01,4.54217817e+00,8.49181582e+00,1.04455143e+01,1.09140866e+01,1.10154198e+01
1.12000000e+00,7.17748880e-01,4.50142860e+00,8.61394215e+00,1.01613512e+01,1.02498503e+01,1.06779356e+01,7.13134907e-01,4.44022879e+00,8.27976112e+00,1.01664101e+01,1.06176893e+01,1.07152257e+01
1.14000000e+00,7.00455487e-01,4.40170765e+00,8.39010429e+00,9.88008785e+00,9.97851086e+00,1.04097776e+01,6.95507523e-01,4.34111864e+00,8.07465082e+00,9.89741287e+00,1.03322844e+01,1.04262217e+01
1.16000000e+00,6.83667839e-01,4.30448246e+00,8.17349148e+00,9.60964775e+00,9.71764374e+00,1.01509533e+01,6.78408171e-01,4.24473954e+00,7.87617336e+00,9.63801591e+00,1.00573058e+01,1.01478283e+01
1.18000000e+00,6.67361319e-01,4.20966005e+00,7.96376467e+00,9.34949493e+00,9.46663857e+00,9.90097046e+00,6.61816261e-01,4.15098895e+00,7.68403554e+00,9.38774573e+00,9.79222571e+00,9.87950527e+00
