D,NN_E_s0.05,Num_E_s0.05,NN_E_s0.10,Num_E_s0.10,NN_E_s0.15,Num_E_s0.15,NN_E_s0.20,Num_E_s0.20,NN_E_s0.25,Num_E_s0.25
2.00000000e-02,3.58621216e+01,3.45050169e+01,4.52663765e+01,4.49376869e+01,5.04569893e+01,5.06188799e+01,5.40068893e+01,5.47620854e+01,5.66890755e+01,5.74723361e+01
4.00000000e-02,3.04116631e+01,2.82832905e+01,3.83618317e+01,3.66610331e+01,4.27371674e+01,4.11736598e+01,4.57236328e+01,4.44431360e+01,4.79763527e+01,4.65721792e+01
6.00000000e-02,2.64997978e+01,2.48612163e+01,3.34457664e+01,3.21169307e+01,3.72583427e+01,3.59939539e+01,3.98555412e+01,3.87893547e+01,4.18118515e+01,4.06035915e+01
8.00000000e-02,2.36572552e+01,2.24887968e+01,2.98724213e+01,2.89720546e+01,3.32742691e+01,3.24131093e+01,3.55870819e+01,3.48840949e+01,3.73267479e+01,3.64832644e+01
1.00000000e-01,2.14897308e+01,2.06760345e+01,2.71420765e+01,2.65730796e+01,3.02269402e+01,2.96844733e+01,3.23200607e+01,3.19107096e+01,3.38921700e+01,3.33478891e+01
1.20000000e-01,1.97683372e+01,1.92129321e+01,2.49686260e+01,2.46400136e+01,2.77985878e+01,2.74880593e+01,2.97151985e+01,2.95192182e+01,3.11525459e+01,3.08274899e+01
1.40000000e-01,1.83569927e+01,1.79894919e+01,2.31831703e+01,2.30261981e+01,2.58020802e+01,2.56562620e+01,2.75723820e+01,2.75263068e+01,2.88982010e+01,2.87282815e+01
1.60000000e-01,1.71706715e+01,1.69407166e+01,2.16800900e+01,2.16449742e+01,2.41202393e+01,2.40900472e+01,2.57667713e+01,2.58236611e+01,2.69981651e+01,2.69357637e+01
1.80000000e-01,1.61538372e+01,1.60249418e+01,2.03902035e+01,2.04407941e+01,2.26762924e+01,2.27259359e+01,2.42162476e+01,2.43418556e+01,2.53664341e+01,2.53765473e+01
2.00000000e-01,1.52684088e+01,1.52138368e+01,1.92659817e+01,1.93758878e+01,2.14175587e+01,2.15207667e+01,2.28643665e+01,2.30336866e+01,2.39437065e+01,2.40007349e+01
2.20000000e-01,1.44873686e+01,1.44872524e+01,1.82738152e+01,1.84233943e+01,2.03065052e+01,2.04438456e+01,2.16711292e+01,2.18655868e+01,2.26878738e+01,2.27728443e+01
2.40000000e-01,1.37911301e+01,1.38303425e+01,1.73889389e+01,1.75635232e+01,1.93155251e+01,1.94725590e+01,2.06068211e+01,2.08128268e+01,2.15678024e+01,2.16667365e+01
