D,NN_z0.5,NN_z1.0,NN_z2.0,NN_z4.0,NN_z7.0,NN_z11.0,PBE_z0.5,PBE_z1.0,PBE_z2.0,PBE_z4.0,PBE_z7.0,PBE_z11.0
2.00000000e-02,2.53456205e-01,6.94868803e-01,3.46542645e+00,2.50200062e+01,1.32484924e+02,4.61786316e+02,1.58898250e-01,1.01005966e+00,4.28909755e+00,2.15709303e+01,1.13780021e+02,4.01876470e+02
4.00000000e-02,2.38560736e-01,7.34390318e-01,3.87391639e+00,2.44472733e+01,1.12677872e+02,3.20840668e+02,1.57277225e-01,9.99201497e-01,4.23388649e+00,2.10466160e+01,1.03504631e+02,2.86336964e+02
6.00000000e-02,2.25601584e-01,7.48364866e-01,4.01111507e+00,2.30907841e+01,9.80938873e+01,2.43628052e+02,1.55656873e-01,9.88348855e-01,4.17872792e+00,2.05252275e+01,9.41119832e+01,2.19491381e+02
8.00000000e-02,2.14549452e-01,7.52912939e-01,4.04946709e+00,2.18181477e+01,8.71640091e+01,1.94849289e+02,1.54037533e-01,9.77504482e-01,4.12364788e+00,2.00081503e+01,8.57447371e+01,1.77069776e+02
1.00000000e-01,2.05184266e-01,7.53708601e-01,4.04748154e+00,2.07180367e+01,7.85968246e+01,1.61272675e+02,1.52419539e-01,9.66671119e-01,4.06867218e+00,1.94966821e+01,7.83898288e+01,1.47924327e+02
1.20000000e-01,1.97281376e-01,7.53208637e-01,4.02871799e+00,1.97672997e+01,7.16384048e+01,1.36798035e+02,1.50803226e-01,9.55851494e-01,4.01382632e+00,1.89920119e+01,7.19558106e+01,1.26703795e+02
1.40000000e-01,1.90632015e-01,7.52548277e-01,4.00308228e+00,1.89319878e+01,6.58343887e+01,1.18208885e+02,1.49188926e-01,9.45048316e-01,3.95913544e+00,1.84952040e+01,6.63257436e+01,1.10574048e+02
1.60000000e-01,1.85049728e-01,7.52217650e-01,3.97463465e+00,1.81843643e+01,6.08948135e+01,1.03643280e+02,1.47576972e-01,9.34264277e-01,3.90462419e+00,1.80071880e+01,6.13840353e+01,9.79037553e+01
1.80000000e-01,1.80373475e-01,7.52388775e-01,3.94486165e+00,1.75043182e+01,5.66244469e+01,9.19491196e+01,1.45967692e-01,9.23502043e-01,3.85031673e+00,1.75287551e+01,5.70271989e+01,8.76899099e+01
2.00000000e-01,1.76464647e-01,7.53059626e-01,3.91407561e+00,1.68775806e+01,5.28862648e+01,8.23732452e+01,1.44361413e-01,9.12764254e-01,3.79623664e+00,1.70605585e+01,5.31666579e+01,7.92825847e+01
2.20000000e-01,1.73200250e-01,7.54152596e-01,3.88217258e+00,1.62941875e+01,4.95804482e+01,7.44030533e+01,1.42758461e-01,9.02053523e-01,3.74240686e+00,1.66031182e+01,4.97281582e+01,7.22423652e+01
2.40000000e-01,1.70477480e-01,7.55535841e-01,3.84886122e+00,1.57471037e+01,4.66319427e+01,6.76777191e+01,1.41159155e-01,8.91372428e-01,3.68884964e+00,1.61568291e+01,4.66499878e+01,6.62615866e+01
2.60000000e-01,1.68205082e-01,7.57081687e-01,3.81391239e+00,1.52312002e+01,4.39833565e+01,6.19364662e+01,1.39563815e-01,8.80723512e-01,3.63558650e+00,1.57219711e+01,4.38809680e+01,6.11184313e+01
2.80000000e-01,1.66306496e-01,7.58654058e-01,3.77709651e+00,1.47427826e+01,4.15890694e+01,5.69849701e+01,1.37972756e-01,8.70109283e-01,3.58263819e+00,1.52987203e+01,4.13785937e+01,5.66489532e+01
3.00000000e-01,1.64712504e-01,7.60124028e-01,3.73831415e+00,1.42789650e+01,3.94130440e+01,5.26769638e+01,1.36386290e-01,8.59532204e-01,3.53002463e+00,1.48871612e+01,3.91074420e+01,5.27293656e+01
3.20000000e-01,1.63367420e-01,7.61390388e-01,3.69752383e+00,1.38375359e+01,3.74257507e+01,4.88993950e+01,1.34804723e-01,8.48994699e-01,3.47776491e+00,1.44872988e+01,3.70378585e+01,4.92644575e+01
3.40000000e-01,1.62220791e-01,7.62354195e-01,3.65476561e+00,1.34167557e+01,3.56030502e+01,4.55637093e+01,1.33228361e-01,8.38499143e-01,3.42587723e+00,1.40990701e+01,3.51448926e+01,4.61797983e+01
3.60000000e-01,1.61226705e-01,7.62945771e-01,3.61010623e+00,1.30151453e+01,3.39248810e+01,4.25999985e+01,1.31657502e-01,8.28047867e-01,3.37437892e+00,1.37223548e+01,3.34074399e+01,4.34163625e+01
3.80000000e-01,1.60353079e-01,7.63099611e-01,3.56369662e+00,1.26314077e+01,3.23742332e+01,3.99518776e+01,1.30092441e-01,8.17643150e-01,3.32328639e+00,1.33569855e+01,3.18075551e+01,4.09267404e+01
4.00000000e-01,1.59565195e-01,7.62764335e-01,3.51567459e+00,1.22644882e+01,3.09369087e+01,3.75736275e+01,1.28533467e-01,8.07287218e-01,3.27261513e+00,1.30027564e+01,3.03298988e+01,3.86724150e+01
4.20000000e-01,1.58837244e-01,7.61914849e-01,3.46622324e+00,1.19133759e+01,2.96007156e+01,3.54277916e+01,1.26980868e-01,7.96982245e-01,3.22237971e+00,1.26594316e+01,2.89612928e+01,3.66217698e+01
4.40000000e-01,1.58146918e-01,7.60531008e-01,3.41553116e+00,1.15771723e+01,2.83551807e+01,3.34833755e+01,1.25434921e-01,7.86730351e-01,3.17259379e+00,1.23267517e+01,2.76903604e+01,3.47486102e+01
4.60000000e-01,1.57472879e-01,7.58589864e-01,3.36378908e+00,1.12550468e+01,2.71912231e+01,3.17144699e+01,1.23895903e-01,7.76533595e-01,3.12327007e+00,1.20044397e+01,2.65072344e+01,3.30310488e+01
4.80000000e-01,1.56800270e-01,7.56104052e-01,3.31118202e+00,1.09462824e+01,2.61010265e+01,3.00995502e+01,1.22364081e-01,7.66393980e-01,3.07442036e+00,1.16922064e+01,2.54033183e+01,3.14506550e+01
5.00000000e-01,1.56117037e-01,7.53069460e-01,3.25789642e+00,1.06500912e+01,2.50776253e+01,2.86200657e+01,1.20839721e-01,7.56313451e-01,3.02605557e+00,1.13897546e+01,2.43710911e+01,2.99917985e+01
5.20000000e-01,1.55410588e-01,7.49502838e-01,3.20410109e+00,1.03658619e+01,2.41151543e+01,2.72604103e+01,1.19323079e-01,7.46293888e-01,2.97818569e+00,1.10967825e+01,2.34039465e+01,2.86411367e+01
5.40000000e-01,1.54673085e-01,7.45417953e-01,3.14995670e+00,1.00929184e+01,2.32081680e+01,2.60072384e+01,1.17814407e-01,7.36337113e-01,2.93081987e+00,1.08129869e+01,2.24960588e+01,2.73872112e+01
5.60000000e-01,1.53897271e-01,7.40834475e-01,3.09562373e+00,9.83070183e+00,2.23520317e+01,2.48490810e+01,1.16313951e-01,7.26444883e-01,2.88396637e+00,1.05380657e+01,2.16422727e+01,2.62201263e+01
5.80000000e-01,1.53077394e-01,7.35780954e-01,3.04124212e+00,9.57862091e+00,2.15425682e+01,2.37758617e+01,1.14821950e-01,7.16618892e-01,2.83763264e+00,1.02717194e+01,2.08380099e+01,2.51312915e+01
6.00000000e-01,1.52211010e-01,7.30281234e-01,2.98692989e+00,9.33617401e+00,2.07761097e+01,2.27790527e+01,1.13338638e-01,7.06860770e-01,2.79182530e+00,1.00136533e+01,2.00791915e+01,2.41132130e+01
6.20000000e-01,1.51295468e-01,7.24358857e-01,2.93280864e+00,9.10281754e+00,2.00492668e+01,2.18509197e+01,1.11864240e-01,6.97172082e-01,2.74655021e+00,9.76357839e+00,1.93621719e+01,2.31593243e+01
6.40000000e-01,1.50327176e-01,7.18054235e-01,2.87898254e+00,8.87809753e+00,1.93590374e+01,2.09849777e+01,1.10398978e-01,6.87554330e-01,2.70181243e+00,9.52121228e+00,1.86836832e+01,2.22638468e+01
6.60000000e-01,1.49307698e-01,7.11383164e-01,2.82553983e+00,8.66157246e+00,1.87028580e+01,2.01753979e+01,1.08943063e-01,6.78008948e-01,2.65761633e+00,9.28628004e+00,1.80407882e+01,2.14216753e+01
6.80000000e-01,1.48237139e-01,7.04385817e-01,2.77256393e+00,8.45282459e+00,1.80781860e+01,1.94169006e+01,1.07496703e-01,6.68537308e-01,2.61396555e+00,9.05851467e+00,1.74308391e+01,2.06282825e+01
7.00000000e-01,1.47113547e-01,6.97085977e-01,2.72012448e+00,8.25143909e+00,1.74829617e+01,1.87051239e+01,1.06060098e-01,6.59140715e-01,2.57086307e+00,8.83765746e+00,1.68514434e+01,1.98796396e+01
