D,NN_E_z1.93,Num_E_z1.93,NN_E_z3.87,Num_E_z3.87,NN_E_z5.80,Num_E_z5.80,NN_E_z7.74,Num_E_z7.74,NN_E_z9.67,Num_E_z9.67
2.00000000e-02,3.16753340e+00,4.28909755e+00,2.27078342e+01,1.89140711e+01,7.47203293e+01,6.16459724e+01,1.80241013e+02,1.65992543e+02,3.43103027e+02,3.49107936e+02
4.00000000e-02,3.54593921e+00,4.23388649e+00,2.23882122e+01,1.84880769e+01,6.65614624e+01,5.84286961e+01,1.48711823e+02,1.44563936e+02,2.56969116e+02,2.59875258e+02
6.00000000e-02,3.67953062e+00,4.17872792e+00,2.12505226e+01,1.80640496e+01,5.97458267e+01,5.53097364e+01,1.26684845e+02,1.26429940e+02,2.04598709e+02,2.03929211e+02
8.00000000e-02,3.72221684e+00,4.12364788e+00,2.01453171e+01,1.76429298e+01,5.44287872e+01,5.23246653e+01,1.10577019e+02,1.11500338e+02,1.69343536e+02,1.66848107e+02
1.00000000e-01,3.72696018e+00,4.06867218e+00,1.91776886e+01,1.72256090e+01,5.01562042e+01,4.94970647e+01,9.81870193e+01,9.92543670e+01,1.43915710e+02,1.40696673e+02
1.20000000e-01,3.71540570e+00,4.01382632e+00,1.83365135e+01,1.68129173e+01,4.66101341e+01,4.68393809e+01,8.82926254e+01,8.91399611e+01,1.24683907e+02,1.21321220e+02
1.40000000e-01,3.69687867e+00,3.95913544e+00,1.75946770e+01,1.64056127e+01,4.35895424e+01,4.43550988e+01,8.01683350e+01,8.06964267e+01,1.09623520e+02,1.06409041e+02
1.60000000e-01,3.67528629e+00,3.90462419e+00,1.69289093e+01,1.60043748e+01,4.09648323e+01,4.20412599e+01,7.33546753e+01,7.35665709e+01,9.75130844e+01,9.45846733e+01
1.80000000e-01,3.65213060e+00,3.85031673e+00,1.63216858e+01,1.56098001e+01,3.86491432e+01,3.98907251e+01,6.75439835e+01,6.74792584e+01,8.75695267e+01,8.49825832e+01
2.00000000e-01,3.62779665e+00,3.79623664e+00,1.57605038e+01,1.52224009e+01,3.65819435e+01,3.78939456e+01,6.25219688e+01,6.22288878e+01,7.92647247e+01,7.70320879e+01
2.20000000e-01,3.60219741e+00,3.74240686e+00,1.52366114e+01,1.48426058e+01,3.47193832e+01,3.60402284e+01,5.81327896e+01,5.76584146e+01,7.22306366e+01,7.03420827e+01
2.40000000e-01,3.57514048e+00,3.68884964e+00,1.47437811e+01,1.44707631e+01,3.30287552e+01,3.43185803e+01,5.42612534e+01,5.36466094e+01,6.62013779e+01,6.46357264e+01
2.60000000e-01,3.54638648e+00,3.63558650e+00,1.42776108e+01,1.41071444e+01,3.14847469e+01,3.27182352e+01,5.08186951e+01,5.00987943e+01,6.09807663e+01,5.97116264e+01
2.80000000e-01,3.51574016e+00,3.58263819e+00,1.38348370e+01,1.37519511e+01,3.00673885e+01,3.12289616e+01,4.77363358e+01,4.69401602e+01,5.64202080e+01,5.54198093e+01
3.00000000e-01,3.48310089e+00,3.53002463e+00,1.34131241e+01,1.34053196e+01,2.87605934e+01,2.98412214e+01,4.49599037e+01,4.41109295e+01,5.24056358e+01,5.16463111e+01
3.20000000e-01,3.44842172e+00,3.47776491e+00,1.30105848e+01,1.30673285e+01,2.75511189e+01,2.85462352e+01,4.24455910e+01,4.15628268e+01,4.88474922e+01,4.83029903e+01
3.40000000e-01,3.41172433e+00,3.42587723e+00,1.26257715e+01,1.27380050e+01,2.64279690e+01,2.73359893e+01,4.01575813e+01,3.92564788e+01,4.56748009e+01,4.53206105e+01
3.60000000e-01,3.37309670e+00,3.37437892e+00,1.22574949e+01,1.24173315e+01,2.53818111e+01,2.62032077e+01,3.80667114e+01,3.71594761e+01,4.28301353e+01,4.26440323e+01
3.80000000e-01,3.33262634e+00,3.32328639e+00,1.19047546e+01,1.21052517e+01,2.44046307e+01,2.51413071e+01,3.61485977e+01,3.52449144e+01,4.02673378e+01,4.02288006e+01
4.00000000e-01,3.29047322e+00,3.27261513e+00,1.15666399e+01,1.18016763e+01,2.34895763e+01,2.41443422e+01,3.43826370e+01,3.34902820e+01,3.79480553e+01,3.80386769e+01
4.20000000e-01,3.24680281e+00,3.22237971e+00,1.12423830e+01,1.15064889e+01,2.26308270e+01,2.32069487e+01,3.27514610e+01,3.18766057e+01,3.58406677e+01,3.60438256e+01
4.40000000e-01,3.20178008e+00,3.17259379e+00,1.09312401e+01,1.12195500e+01,2.18229942e+01,2.23242875e+01,3.12405052e+01,3.03877851e+01,3.39187164e+01,3.42194596e+01
4.60000000e-01,3.15560770e+00,3.12327007e+00,1.06325941e+01,1.09407019e+01,2.10616245e+01,2.14919915e+01,2.98369160e+01,2.90100723e+01,3.21598740e+01,3.25448162e+01
4.80000000e-01,3.10843825e+00,3.07442036e+00,1.03458090e+01,1.06697725e+01,2.03426743e+01,2.07061165e+01,2.85300407e+01,2.77316590e+01,3.05452499e+01,3.10023722e+01
5.00000000e-01,3.06044769e+00,3.02605557e+00,1.00702381e+01,1.04065782e+01,1.96624908e+01,1.99630968e+01,2.73101368e+01,2.65423476e+01,2.90585976e+01,2.95772361e+01
5.20000000e-01,3.01182342e+00,2.97818569e+00,9.80539799e+00,1.01509274e+01,1.90179615e+01,1.92597045e+01,2.61690693e+01,2.54332866e+01,2.76861610e+01,2.82566714e+01
5.40000000e-01,2.96272326e+00,2.93081987e+00,9.55073643e+00,9.90262265e+00,1.84062347e+01,1.85930138e+01,2.50996017e+01,2.43967561e+01,2.64158726e+01,2.70297212e+01
5.60000000e-01,2.91326928e+00,2.88396637e+00,9.30577755e+00,9.66146267e+00,1.78247051e+01,1.79603683e+01,2.40954227e+01,2.34259935e+01,2.52374363e+01,2.58869073e+01
